date,date_int,Open,High,Low,Close
2012-07-02 09:30:00,20120702093000,12879.71,12886.07,12860.07,12881.45
2012-07-02 09:35:00,20120702093500,12880.85,12889.48,12874.0,12884.1
2012-07-02 09:40:00,20120702094000,12886.0,12892.81,12885.16,12890.16
2012-07-02 09:45:00,20120702094500,12890.23,12902.04,12890.23,12893.11
2012-07-02 09:50:00,20120702095000,12892.88,12897.2,12887.36,12887.36
2012-07-02 09:55:00,20120702095500,12888.87,12888.87,12876.95,12878.58
2012-07-02 10:00:00,20120702100000,12866.47,12866.47,12816.37,12818.49
2012-07-02 10:05:00,20120702100500,12818.79,12826.81,12804.86,12814.36
2012-07-02 10:10:00,20120702101000,12814.66,12833.21,12812.81,12828.36
2012-07-02 10:15:00,20120702101500,12827.91,12842.25,12826.05,12834.38
2012-07-02 10:20:00,20120702102000,12832.68,12850.65,12831.73,12839.98
2012-07-02 10:25:00,20120702102500,12840.28,12840.43,12821.51,12821.51
2012-07-02 10:30:00,20120702103000,12821.44,12828.85,12812.54,12812.54
2012-07-02 10:35:00,20120702103500,12811.94,12811.94,12803.35,12807.59
2012-07-02 10:40:00,20120702104000,12807.89,12811.6,12797.63,12801.15
2012-07-02 10:45:00,20120702104500,12802.74,12828.1,12802.74,12824.12
2012-07-02 10:50:00,20120702105000,12824.43,12834.68,12824.43,12827.76
2012-07-02 10:55:00,20120702105500,12827.3,12827.79,12811.41,12811.41
2012-07-02 11:00:00,20120702110000,12811.56,12813.23,12806.3,12808.57
2012-07-02 11:05:00,20120702110500,12808.8,12816.78,12808.8,12814.78
2012-07-02 11:10:00,20120702111000,12814.17,12814.17,12795.78,12802.74
2012-07-02 11:15:00,20120702111500,12802.67,12813.45,12800.32,12809.63
2012-07-02 11:20:00,20120702112000,12807.74,12817.54,12807.74,12812.58
2012-07-02 11:25:00,20120702112500,12812.62,12812.7,12803.46,12803.46
2012-07-02 11:30:00,20120702113000,12803.54,12814.47,12803.54,12814.44
2012-07-02 11:35:00,20120702113500,12815.08,12825.52,12815.08,12821.36
2012-07-02 11:40:00,20120702114000,12821.21,12822.84,12817.62,12822.76
2012-07-02 11:45:00,20120702114500,12822.46,12826.02,12819.28,12819.28
2012-07-02 11:49:59,20120702114959,12819.51,12823.1,12819.51,12823.1
2012-07-02 11:55:00,20120702115500,12823.03,12824.12,12817.96,12817.96
2012-07-02 12:00:00,20120702120000,12817.65,12819.32,12813.64,12813.79
2012-07-02 12:05:00,20120702120500,12813.72,12815.53,12812.2,12815.31
2012-07-02 12:10:00,20120702121000,12815.38,12821.4,12812.24,12820.64
2012-07-02 12:15:00,20120702121500,12820.49,12822.04,12815.12,12815.12
2012-07-02 12:20:00,20120702122000,12815.04,12822.31,12813.38,12822.31
2012-07-02 12:25:00,20120702122500,12822.23,12824.65,12819.58,12819.77
2012-07-02 12:30:00,20120702123000,12819.85,12823.52,12819.73,12821.59
2012-07-02 12:34:59,20120702123459,12821.06,12829.19,12820.91,12829.12
2012-07-02 12:40:00,20120702124000,12829.04,12830.71,12826.13,12826.32
2012-07-02 12:45:00,20120702124500,12826.47,12833.62,12825.68,12833.51
2012-07-02 12:50:00,20120702125000,12834.95,12845.66,12834.87,12839.9
2012-07-02 12:55:00,20120702125500,12839.79,12841.0,12836.16,12836.5
2012-07-02 13:00:00,20120702130000,12836.27,12836.27,12832.45,12832.52
2012-07-02 13:05:00,20120702130500,12832.3,12833.92,12830.18,12833.62
2012-07-02 13:10:00,20120702131000,12833.7,12835.17,12833.36,12834.72
2012-07-02 13:15:00,20120702131500,12834.42,12841.08,12834.3,12840.4
2012-07-02 13:19:59,20120702131959,12840.24,12840.85,12838.09,12840.28
2012-07-02 13:25:00,20120702132500,12840.32,12843.5,12840.32,12842.33
2012-07-02 13:30:00,20120702133000,12842.55,12846.6,12842.36,12846.07
2012-07-02 13:35:00,20120702133500,12846.15,12847.25,12840.28,12840.59
2012-07-02 13:40:00,20120702134000,12840.66,12840.66,12833.62,12834.87
2012-07-02 13:45:00,20120702134500,12834.76,12838.05,12834.08,12835.59
2012-07-02 13:50:00,20120702135000,12835.51,12835.7,12831.28,12833.17
2012-07-02 13:55:00,20120702135500,12833.47,12835.63,12830.94,12833.62
2012-07-02 14:00:00,20120702140000,12833.51,12833.51,12822.65,12824.84
2012-07-02 14:04:59,20120702140459,12824.77,12834.83,12823.93,12834.83
2012-07-02 14:10:00,20120702141000,12834.91,12841.38,12834.91,12841.34
2012-07-02 14:15:00,20120702141500,12841.42,12852.32,12840.28,12848.53
2012-07-02 14:20:00,20120702142000,12848.38,12855.72,12847.89,12848.83
2012-07-02 14:25:00,20120702142500,12848.91,12854.21,12848.91,12852.39
2012-07-02 14:30:00,20120702143000,12854.06,12854.96,12848.65,12849.33
2012-07-02 14:35:00,20120702143500,12849.29,12852.88,12847.02,12849.74
2012-07-02 14:40:00,20120702144000,12849.82,12850.08,12843.8,12843.88
2012-07-02 14:45:00,20120702144500,12844.22,12845.13,12838.16,12838.35
2012-07-02 14:50:00,20120702145000,12838.28,12839.07,12836.01,12837.22
2012-07-02 14:55:00,20120702145500,12837.37,12844.56,12837.07,12841.46
2012-07-02 15:00:00,20120702150000,12841.53,12843.2,12839.83,12842.21
2012-07-02 15:05:00,20120702150500,12841.99,12843.76,12833.47,12833.47
2012-07-02 15:10:00,20120702151000,12831.96,12831.96,12825.6,12831.01
2012-07-02 15:15:00,20120702151500,12830.94,12833.21,12829.57,12830.22
2012-07-02 15:20:00,20120702152000,12830.14,12836.8,12828.7,12836.8
2012-07-02 15:25:00,20120702152500,12836.84,12837.67,12832.03,12835.67
2012-07-02 15:30:00,20120702153000,12837.78,12848.53,12835.59,12848.53
2012-07-02 15:35:00,20120702153500,12848.38,12859.24,12848.38,12853.98
2012-07-02 15:40:00,20120702154000,12854.09,12860.07,12853.64,12854.81
2012-07-02 15:45:00,20120702154500,12854.74,12860.3,12850.35,12857.16
2012-07-02 15:50:00,20120702155000,12857.46,12860.87,12855.08,12855.08
2012-07-02 15:55:00,20120702155500,12855.0,12871.35,12855.0,12866.62
2012-07-02 16:00:00,20120702160000,12867.0,12871.39,12867.0,12871.39
2012-07-03 09:30:00,20120703093000,12867.98,12868.51,12851.33,12852.92
2012-07-03 09:35:00,20120703093500,12853.15,12863.37,12845.88,12863.37
2012-07-03 09:40:00,20120703094000,12863.9,12876.76,12862.76,12874.79
2012-07-03 09:45:00,20120703094500,12874.72,12877.14,12871.54,12875.85
2012-07-03 09:50:00,20120703095000,12876.16,12882.51,12873.81,12878.43
